symbol;yahoo finance
PRN;https://query1.finance.yahoo.com/v7/finance/download/PRN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
DWLV;https://query1.finance.yahoo.com/v7/finance/download/DWLV?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PDP;https://query1.finance.yahoo.com/v7/finance/download/PDP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
DWAQ;https://query1.finance.yahoo.com/v7/finance/download/DWAQ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
DWAS;https://query1.finance.yahoo.com/v7/finance/download/DWAS?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
DWIN;https://query1.finance.yahoo.com/v7/finance/download/DWIN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
DWTR;https://query1.finance.yahoo.com/v7/finance/download/DWTR?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PTF;https://query1.finance.yahoo.com/v7/finance/download/PTF?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PUI;https://query1.finance.yahoo.com/v7/finance/download/PUI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IDLB;https://query1.finance.yahoo.com/v7/finance/download/IDLB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PRFZ;https://query1.finance.yahoo.com/v7/finance/download/PRFZ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PAGG;https://query1.finance.yahoo.com/v7/finance/download/PAGG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSAU;https://query1.finance.yahoo.com/v7/finance/download/PSAU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PIO;https://query1.finance.yahoo.com/v7/finance/download/PIO?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PGJ;https://query1.finance.yahoo.com/v7/finance/download/PGJ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PEY;https://query1.finance.yahoo.com/v7/finance/download/PEY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPKW;https://query1.finance.yahoo.com/v7/finance/download/IPKW?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PID;https://query1.finance.yahoo.com/v7/finance/download/PID?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
KBWB;https://query1.finance.yahoo.com/v7/finance/download/KBWB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
KBWD;https://query1.finance.yahoo.com/v7/finance/download/KBWD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
KBWY;https://query1.finance.yahoo.com/v7/finance/download/KBWY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
KBWP;https://query1.finance.yahoo.com/v7/finance/download/KBWP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
KBWR;https://query1.finance.yahoo.com/v7/finance/download/KBWR?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
LDRI;https://query1.finance.yahoo.com/v7/finance/download/LDRI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
LALT;https://query1.finance.yahoo.com/v7/finance/download/LALT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PNQI;https://query1.finance.yahoo.com/v7/finance/download/PNQI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PDBC;https://query1.finance.yahoo.com/v7/finance/download/PDBC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
QQQ;https://query1.finance.yahoo.com/v7/finance/download/QQQ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
USLB;https://query1.finance.yahoo.com/v7/finance/download/USLB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCD;https://query1.finance.yahoo.com/v7/finance/download/PSCD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCC;https://query1.finance.yahoo.com/v7/finance/download/PSCC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCE;https://query1.finance.yahoo.com/v7/finance/download/PSCE?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCF;https://query1.finance.yahoo.com/v7/finance/download/PSCF?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
